n,effort_row,rep,estimator,p,α,χ,h,a,r,t
2,78,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,79,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,80,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,81,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,82,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,83,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,84,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,85,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,86,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,87,1,standard,0.4,1.0,0.05,5000,1.0,1.0,12
2,88,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,89,1,standard,0.4,1.0,0.05,5000,1.0,1.0,8
2,90,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,91,1,standard,0.4,1.0,0.05,5000,1.0,1.0,11
2,92,1,standard,0.4,1.0,0.05,5000,1.0,1.0,1
2,93,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,94,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,95,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,96,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,97,1,standard,0.4,1.0,0.05,5000,1.0,1.0,6
2,98,1,standard,0.4,1.0,0.05,5000,1.0,1.0,11
2,99,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,100,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,1,1,standard,0.5,1.0,0.05,5000,1.0,1.0,1
2,2,1,standard,0.5,1.0,0.05,5000,1.0,1.0,5
2,3,1,standard,0.5,1.0,0.05,5000,1.0,1.0,5
2,4,1,standard,0.5,1.0,0.05,5000,1.0,1.0,3
2,5,1,standard,0.5,1.0,0.05,5000,1.0,1.0,6
2,6,1,standard,0.5,1.0,0.05,5000,1.0,1.0,3
